"Id","Designator","Package","Quantity","Designation"
1,"A1","Arduino_MKRZero",1,"ARDUINO_MKRZERO"
2,"M1B1","GrooveStepdown",1,"Groove-StepDown"
3,"M1","AE-TPS7A4700",1,"AE-TPS7A4700"
4,"M5","ADA-DS3231",1,"ADA-DS3231"
5,"M2B1","ADA-LSM303DLHC-BB",1,"ADA-LSM303DLHC-BB"
6,"M2","MM-TXS05",1,"MM-TXS05"
7,"12V_PWR1","BarrelJack_Horizontal",1,"Barrel_Jack"
8,"D2,D1,D4,D3","LED_D3.0mm",4,"LED"
9,"J3,J4","PinSocket_2x20_P2.54mm_Horizontal",2,"2x20 Header (F)"
10,"JP2,JP1,JP4,JP3,JP5,JP6","PinHeader_1x02_P2.54mm_Vertical",6,"Jumper_NC_Small"
11,"R1,R2,R5,R6,R9,R10,R11,R12,R13,R14","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",10,"10K"
12,"R4,R3,R8,R7","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",4,"470"
13,"U1,U2,U3,U4","DIP-28_W7.62mm",4,"MCP23017_SP"
14,"SW1","SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm",1,"SW_DIP_x02"
15,"SW2,SW3","SW_PUSH_6mm",2,"SW_Push"
16,"R15,R16","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",2,"2.2K"
17,"C1,C2","C_Disc_D3.0mm_W1.6mm_P2.50mm",2,"C_Small"
18,"C3","CP_Radial_D5.0mm_P2.50mm",1,"47"
19,"SS1","STEPSTICK_TMC2208",1,"STEPSTICK_TMC2208"
20,"R17","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",1,"1K"
